EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	02:00:27	0.0000	0.6309	0.5971	0.6946	0.6946	0.6946	0.6946
2	02:09:34	0.0000	0.5814	0.5921	0.7003	0.7003	0.7003	0.7003
